system;sector;region;grid
Ring of Kafrene;Thand;Expansion Region;J-15
Resht;;Colonies;N-10
Ring, The;Javin (Anoat);Outer Rim Territories;K-18
Resilon;Bortele;Mid Rim;S-8
Ringali Nebula;Bormea;Core Worlds;L-9
Resti Kel;Juvex;Mid Rim;L-18
Ringlite;Tamarin;Outer Rim Territories;N-19
Retep;Daimar;Mid Rim;Q-16
Ringneldia;Centrality;Outer Rim Territories;T-8
Rethel Point;Far Xandil;Mid Rim;P-16
Ringo Vinda;Eucer;Mid Rim;R-7
Retta;;Wild Space;U-8
Rinn;Baxel;Outer Rim Territories;U-12
Rettna;Esaga;Mid Rim;Q-11
Rintonne;Lambda;Mid Rim;P-16
Reuss;Portmoak;Outer Rim Territories;P-18
Rion;Kessel;Outer Rim Territories;T-10
Reventine;Seswenna;Outer Rim Territories;M-18
Rior;Tamarin;Outer Rim Territories;N-18
Revery;Noonian;Outer Rim Territories;N-6
Riosa;;Inner Rim;J-8
Revkinn;Parmel;Outer Rim Territories;O-18
Rirsack;Belsmuth;Outer Rim Territories;O-6
Revyia;Veragi;Outer Rim Territories;L-2
Risban;Tion Hegemony;Outer Rim Territories;S-5
Rex Strata;Wazta;Outer Rim Territories;J-18
Rishi;Abrion;Outer Rim Territories;S-15
Reyna;Tapani;Colonies;L-13
Risso;;Inner Rim;N-14
Reyniu;Mayagil;Outer Rim Territories;N-18
Rivoria;Tunka;Outer Rim Territories;J-19
Reynon;Albarrio;Outer Rim Territories;K-5
Rivvidu;D'Astan;Outer Rim Territories;O-5
Reytha;Harron;Expansion Region;O-12
Ro Mira;Vensori;Mid Rim;P-8
Rezi;Bajic;Outer Rim Territories;P-17
Ro-Loo Triangle;Lambda;Mid Rim;P-16
Rhamalai;Varada;Outer Rim Territories;I-19
Rocantor;Rocantor;Expansion Region;L-15
Rhamsis Callo;Danjar;Outer Rim Territories;N-19
Rocedila;Auril;Outer Rim Territories;R-6
Rhanipur;Hevvrol;Mid Rim;O-15
Rocrin;Airam;Outer Rim Territories;M-20
Rhelg;Esstran (Sith Worlds);Outer Rim Territories;R-5
Rocun Cluster;Yminis;Outer Rim Territories;S-14
Rhen Var;Thanium;Outer Rim Territories;R-6
Rodaj;;Inner Rim;L-15
Rhigar;Chiss Space*;Unknown Regions;E-9
Rodia;Savareen;Outer Rim Territories;R-16
Rhilithan;Indrexu;Outer Rim Territories;S-5
Rodis;Zuma (Sugai);Outer Rim Territories;H-16
Rhinnal;Darpa;Core Worlds;L-9
Rogue Antar;Steniplis;Outer Rim Territories;M-18
Rhommamool;Merthian;Expansion Region;N-13
Rohm;Hevvrol;Mid Rim;O-15
Rhuvia;Relgim;Outer Rim Territories;L-5
Roil, The;Gordian Reach;Outer Rim Territories;Q-5
Rial Kroon;Noonian;Outer Rim Territories;M-6
Rokaria;Tynquay;Outer Rim Territories;Q-4
Rianon;Tapani;Colonies;L-13
Rokirex;Herios;Outer Rim Territories;T-16
Ribento;Quence;Outer Rim Territories;O-19
Rol;Noonian;Outer Rim Territories;M-6
Ricaldi;Tapani;Colonies;L-13
Roldalna;Kira;Expansion Region;N-16
Riddellia;Albanin;Outer Rim Territories;T-12
Romar;Galov;Outer Rim Territories;T-13
Ridlay;Lambda;Mid Rim;P-16
Romik;Quelii;Outer Rim Territories;O-6
Ridley;;Inner Rim;L-8
Romin;Romintine;Mid Rim;Q-8
Romossobar;Eucer;Mid Rim;R-7
Ryloon;Velcar;Outer Rim Territories;J-5
Ronaphaven;Garis;Outer Rim Territories;N-17
Rylorii Minor;Rocantor;Expansion Region;L-15
Rondai;;Inner Rim;J-8
Ryloth;Gaulus (Ryloth);Outer Rim Territories;R-17
Ronyards;;Inner Rim;N-13
Rynmar;Hapes Cluster;Inner Rim;O-9
Roon;Abrion;Outer Rim Territories;S-15
Ryoone;Wazta;Outer Rim Territories;I-17
Roona;Bes Ber Bikade;Expansion Region;L-15
Rystan;;Wild Space;M-20
Roost;Bitrose;Outer Rim Territories;T-17
Ryvellia;Treffani;Expansion Region;O-14
Ropagi;Kira;Expansion Region;N-16
Ryvester;Meridian;Outer Rim Territories;R-7
Roqoo Depot;;Inner Rim;O-9
Ryyk Nebula;Trans-Vulta;Mid Rim;N-7
Rorak;;Hutt Space;S-12
RZ7-6113-23;Chopani;Outer Rim Territories;L-4
Rordak;Pelgrin;Outer Rim Territories;R-17
Saarn;Esstran;Outer Rim Territories;P-5
Rorgam;Terr'skiar;Mid Rim;Q-10
Sab Rufo;;Inner Rim;N-8
Rotas;Yminis;Outer Rim Territories;S-14
Sabanash;Tyus;Mid Rim;N-16
Rothana;Quiberon;Outer Rim Territories;T-15
Sabata;Halla;Mid Rim;R-9
Rotoga;Alchenaut;Expansion Region;L-16
Saberhing;Corellian;Core Worlds;M-11
Roundtree;;Inner Rim;M-14
Sabrash;Metatessu;Mid Rim;R-9
Routh;Velcar;Outer Rim Territories;J-5
Sabrixin;Samix;Outer Rim Territories;Q-19
Rowacki;;Inner Rim;O-10
Saclas;Corporate Sector;Outer Rim Territories;S-4
Roxuli;(Roxuli);Expansion Region;I-8
Sacorria;Corellian;Core Worlds;M-11
Rrulinn;Yushan;Mid Rim;K-17
Saffa;Halla;Mid Rim;R-8
Rseik;Rseik;Outer Rim Territories;N-20
Saffalore;Corporate Sector;Outer Rim Territories;S-4
RTK111;Yminis;Outer Rim Territories;S-14
Safrifa;Videnda;Outer Rim Territories;M-18
Ruac;Lothal;Outer Rim Territories;U-7
Sag Kemper;Tamarin;Outer Rim Territories;N-18
Ruan;;Core Worlds;K-10
Sagar;Wentrion;Inner Rim;N-13
Ruathi;Jjannex;Outer Rim Territories;K-19
Sagma;Illisurevimurasi;Outer Rim Territories;Q-4
Rubinero;;Core Worlds;L-12
Sahbrontee;;Mid Rim;I-15
Rubogea;;Core Worlds;L-9
Saheelindeel;Tion Hegemony;Outer Rim Territories;S-6
Rudrig;Tion Hegemony;Outer Rim Territories;S-6
Saijo;Saijo;Outer Rim Territories;K-20
Rudun;Kontahr;Mid Rim;R-11
Saila Na;Javin (Anoat);Outer Rim Territories;K-18
Rugosa;Sanbra;Outer Rim Territories;O-17
Sakavi Tar;;Outer Rim Territories;I-19
Ruhe;Savareen;Outer Rim Territories;Q-17
Saki;;Hutt Space;S-11
Ruhnuk;;Wild Space;G-13
Sakidopa;;Hutt Space;S-11
Ruisto;Calamari;Outer Rim Territories;U-6
Sakiduba;;Hutt Space;S-11
Rulaar;Senex;Mid Rim;L-17
Sakifwanna;;Hutt Space;T-11
Rullag;Cadma;Outer Rim Territories;T-8
Sakreen;Ash Worlds;Outer Rim Territories;S-7
Ruloosia;Oktos;Mid Rim;R-12
Sakuub;Pelgrin;Outer Rim Territories;R-18
Rumil;Mezeg;Mid Rim;N-7
Salagor;;Inner Rim;N-13
Runaway Prince;;Hutt Space;R-11
Salaktori Anchorage;;Inner Rim;O-10
Ruoss Minor;;Colonies;M-9
Salaniss;;Wild Space;H-17
Rurgavea;;Core Worlds;L-13
Saleucami;Suolriep;Outer Rim Territories;S-8
Rushan;Andirma;Expansion Region;L-15
Salgarus;;Colonies;L-9
Rustibar;Churnis;Mid Rim;J-7
Salient;Aparo;Outer Rim Territories;R-3
Rutal;;Wild Space;J-13
Salin;Sprizen;Outer Rim Territories;N-5
Rutan;Atravis;Outer Rim Territories;L-20
Salissia;;Outer Rim Territories;T-5
Ruugia;Altier;Expansion Region;O-13
Salliche;;Core Worlds;K-10
Ruul;;Core Worlds;M-10
Salmagodro;;Inner Rim;M-8
Ruuria;Xappyh;Outer Rim Territories;Q-3
Salobea;Noonian;Outer Rim Territories;M-6
Ruusan;Teraab;Mid Rim;P-11
Salstan;Marzoon;Mid Rim;I-16
Ruweln;Bothan;Mid Rim;R-14
Saltear;Tarabba;Outer Rim Territories;M-19
Rya;Kwymar;Outer Rim Territories;P-4
Salteract;Rayter;Outer Rim Territories;J-19
Ryarten;Corthenia;Mid Rim;K-7
Salvara;Tennuutta;Mid Rim;Q-7
Ryborea;Ryborean;Expansion Region;J-8
Samaria;;Core Worlds;M-11
Rycep;Jjannex;Outer Rim Territories;L-19
Samarine;D'Astan (Samarine);Outer Rim Territories;O-5
Rychel;Dalonbian;Outer Rim Territories;L-2
Samhar;Grumani;Outer Rim Territories;N-17
Rydar;Antemeridian;Outer Rim Territories;R-7
Sammun;Ash Worlds (Batonn);Outer Rim Territories;T-7
Rydonni Prime;;Core Worlds;M-11
Samovar;Koradin;Outer Rim Territories;I-18
Sanbra;Sanbra;Outer Rim Territories;O-17
Sechar;Tharin (Divis Arm);Outer Rim Territories;S-8
Sandonia;;Inner Rim;N-14
Secundus Ando;Lambda;Mid Rim;Q-15
Sanej;;Inner Rim;N-13
Sedapard Cluster;;Mid Rim;O-16
Sanjin;;Colonies;M-13
Sedesia;Druess;Mid Rim;O-16
Sanrafsix;Grumani;Outer Rim Territories;N-17
Sedratis;;Core Worlds;M-11
Santarine;Hook Nebula;Outer Rim Territories;O-18
Sedri;Tharin (Periphery);Outer Rim Territories;S-8
Santheria;Esuain;Mid Rim;Q-7
Seelos;Kwymar;Outer Rim Territories;Q-4
Sanyassa;Zuma (Moddell);Outer Rim Territories;H-16
Seeratter;;Wild Space;G-14
Sanza;Sloo;Mid Rim;P-14
Seezar's Planet;Jjannex;Outer Rim Territories;L-19
Sapella;Kathol;Outer Rim Territories;M-21
Sefon;Tapani;Colonies;L-13
Sappire;Dalicron;Outer Rim Territories;K-20
Seftek;Vorzyd;Outer Rim Territories;R-6
Saqqar;;Hutt Space;T-11
Segra Milo;Jospro;Outer Rim Territories;R-7
Saracor;Oriolan;Mid Rim;J-16
Seidhkona;;Wild Space;T-5
Saraf Cobar;Montitian Grant;Expansion Region;J-15
Seikosha;Nembus;Outer Rim Territories;P-4
Sarapin;;Core Worlds;M-10
Seitia Prime;Seitia;Outer Rim Territories;K-19
Sarconia;;Colonies;M-10
Selab;Hapes Cluster;Inner Rim;O-9
Sardoran;;Core Worlds;M-11
Selaggis;Quelii;Outer Rim Territories;N-6
Sareet;Stensen;Outer Rim Territories;I-17
Selavia;Suolriep;Outer Rim Territories;S-10
Sargesso;Tharin;Outer Rim Territories;S-8
Selenius;D'Aelgoth;Mid Rim;L-17
Sargon;Hapes Cluster;Inner Rim;O-9
Seline;Dalonbian;Outer Rim Territories;M-3
Sarina;Mektrun;Mid Rim;L-17
Selitan;Gordian Reach;Outer Rim Territories;P-6
Sarjenn;Tragan Cluster;Outer Rim Territories;N-5
Sellasas;Jjannex;Outer Rim Territories;L-18
Sarka;Sarka;Mid Rim;Q-8
Selnesh;Irishi;Mid Rim;K-6
Sarkania;;Inner Rim;M-14
Selsor;Zarracina;Expansion Region;O-14
Sarkhai;M'shinni;Mid Rim;M-7
Seltaya Major;Mieru'kar;Outer Rim Territories;O-3
Sarko;Venzeiia;Expansion Region;O-12
Seltos;Mulgard;Mid Rim;N-16
Sarlucif;;Wild Space;S-4
Seluket;;Inner Rim;I-9
Sarm;;Wild Space;I-8
Selvaris;;Wild Space;I-9
Sarnikken;Fakir;Colonies;K-9
Selvernis;Svivreni;Outer Rim Territories;O-19
Sarnus;;Wild Space;O-3
Semag;Semagi;Mid Rim;I-16
Sarpazia;Illodia;Core Worlds;K-13
Sembla;Sertar (Mahrusha);Outer Rim Territories;S-5
Sarq;;Mid Rim;I-15
Senex;Senex;Mid Rim;L-17
Sarrahban;Cyrillian Protectorate;Expansion Region;O-12
Sennatt;Bothan;Mid Rim;R-14
Sarranket;Brevost;Expansion Region;O-15
Sennex;Hapes Cluster;Inner Rim;O-9
Sarrassia;Grumani;Outer Rim Territories;N-17
Sennoa;Ojoster;Outer Rim Territories;N-7
Sarrelon;Brevost;Expansion Region;O-15
Senthrodys;;Inner Rim;O-10
Sarrish;Vensensor;Expansion Region;K-16
Sentuvia;;Inner Rim;N-8
Sartoy;Mieru'kar;Outer Rim Territories;N-3
Seoul;;Wild Space;H-20
Sarumo;Merel;Outer Rim Territories;Q-19
Sepan;Sepan;Expansion Region;P-13
Saruwen Station;Tamarin;Outer Rim Territories;N-18
Septevorres;Antemeridian;Outer Rim Territories;R-7
Sarvchi;Chiss Space*;Unknown Regions;F-9
Septra;Kathol;Outer Rim Territories;M-20
Sason;Cassander (Tadrin);Outer Rim Territories;K-5
Seraphan;;Colonies;N-10
Sathiemon;Illisurevimurasi;Outer Rim Territories;Q-4
Serat;Senex;Mid Rim;L-18
Sauwecer;Videnda;Outer Rim Territories;L-18
Sereeda;Ash Worlds;Outer Rim Territories;T-7
Savareen;Savareen;Outer Rim Territories;Q-16
Seregar;Calaron;Outer Rim Territories;U-9
Savek;Esstran (Sith Worlds);Outer Rim Territories;R-4
Serelia;Oriolan;Mid Rim;J-16
Sawaya;Thesme;Outer Rim Territories;O-6
Serenity;Tashtor;Mid Rim;J-16
Sayblohn;Quess;Mid Rim;N-16
Serenno;D'Astan;Outer Rim Territories;P-5
Scarif;Abrion;Outer Rim Territories;S-15
Sergia;Kalakan;Inner Rim;J-15
Scarl;Tapani;Colonies;L-13
Serianan;;Wild Space;P-2
Schesa;Chiss Space*;Unknown Regions;F-8
Sermeria;Locris;Expansion Region;O-8
Scillal;Centrality;Outer Rim Territories;T-8
Sern Prime;Sern;Colonies;L-13
Scipio;Albarrio;Outer Rim Territories;K-5
Sernpidal;Dalonbian;Outer Rim Territories;L-3
Seatos;Sluis;Outer Rim Territories;M-19
Serolonis;Kriz;Outer Rim Territories;J-18
Sebaddon;;Mid Rim;Q-11
Serpine;Illisurevimurasi;Outer Rim Territories;Q-4
Sebiris;Kathol;Outer Rim Territories;M-21
Serria;Rocantor;Expansion Region;L-15
Serroco;Ploo;Expansion Region;N-7
Shi'kar Straits;Nembus;Outer Rim Territories;P-4
Serule;;Core Worlds;K-9
Shibric;;Inner Rim;N-14
Sesid;Corva;Outer Rim Territories;P-4
Shifa;Tapani;Colonies;L-13
Sespe;Tharin (Periphery);Outer Rim Territories;S-9
Shiffrin;Tammuz;Outer Rim Territories;T-15
Sestina;;Core Worlds;M-11
Shihon;Chiss Space*;Unknown Regions;E-8
Sestooine;Relgim;Outer Rim Territories;L-5
Shikitari;;Unknown Regions;G-14
Sestria;Testarr;Core Worlds;M-13
Shili;Ehosiq;Expansion Region;L-8
Seswenna;Seswenna;Outer Rim Territories;M-18
Shimia;Dalchon;Outer Rim Territories;R-17
Setar;Inner Cluster;Inner Rim;O-11
Shimmer;Rayter;Outer Rim Territories;J-19
Setolio;Tapani;Colonies;L-13
Shinbone;;Wild Space;T-17
Setor;;Colonies;L-8
Shindra;Tapani;Colonies;L-13
Setron;Noori;Expansion Region;O-11
Shintel;Kathol;Outer Rim Territories;M-21
Sev Tok;Kurost;Mid Rim;Q-11
Shiva;;Wild Space;L-21
Sevarcos;Tamarin;Outer Rim Territories;N-19
Shogun;Quence;Outer Rim Territories;O-18
Sevari;Chorlian;Outer Rim Territories;S-4
Shola;Tammuz;Outer Rim Territories;U-14
Sevetta;Sevetta;Outer Rim Territories;T-16
Shoon;Senex;Mid Rim;L-18
Sewalia;;Inner Rim;L-14
Shopani;Tapani;Colonies;L-13
Seylott;Sarin;Outer Rim Territories;P-18
Shoroni;;Colonies;M-9
Seymarti;;Colonies;M-13
Shosho;Graador;Mid Rim;I-17
Seyugi;;Core Worlds;M-11
Shotem;;Colonies;J-13
Sh'ung-tesk;Ciutric;Outer Rim Territories;N-4
Shownar;Parmic;Outer Rim Territories;P-19
Sha'rellia;;Hutt Space;S-12
Shramar;Clacis;Outer Rim Territories;K-4
Shackel;Chaykin;Expansion Region;O-14
Shrokaan;Baroli;Expansion Region;N-14
Shadda Nebula;Toblain;Outer Rim Territories;O-18
Shu-Torun;Chaama;Mid Rim;J-7
Shador;Maerdocian;Mid Rim;Q-13
Shuldene;Javin (Yarith);Outer Rim Territories;J-18
Shadren;Belsmuth;Outer Rim Territories;O-6
Shulstine;;Colonies;M-9
Shafr;Toblain;Outer Rim Territories;O-17
Shulxi;;Core Worlds;L-12
Shahkir;;Inner Rim;M-14
Shumari;Parmel;Outer Rim Territories;O-18
Shalam;;Inner Rim;M-7
Shumavar;Atravis;Outer Rim Territories;L-19
Shalankie;;Inner Rim;O-9
Shumogi;;Core Worlds;M-12
Shallow March;Mortex;Outer Rim Territories;S-5
Shuraden;Koradin;Outer Rim Territories;I-18
Shalm;Zuma (Ikenomin);Outer Rim Territories;H-16
Shurrupak;Vulcusion;Expansion Region;L-16
Shaltin;Thanium;Outer Rim Territories;S-6
Shusugaunt;Raioballo;Outer Rim Territories;L-4
Shalyvane;Indrexu;Outer Rim Territories;S-5
Shuxl;Javin (Yarith);Outer Rim Territories;K-18
Shantipole;Roche;Mid Rim;Q-8
Sibensko;Bes Ber Bikade;Expansion Region;L-15
Shar'Ack;Atrivis;Outer Rim Territories;L-5
Sibetta;Gomar;Inner Rim;K-14
Sharb;Chiss Space*;Unknown Regions;F-8
Sibilaar;Bozhnee;Outer Rim Territories;L-18
Shard;Wazta;Outer Rim Territories;J-18
Sibisime;Sombure;Mid Rim;K-17
Sharlissia;Bon'nyuw-Luq;Outer Rim Territories;N-18
Sídi;Illisurevimurasi;Outer Rim Territories;Q-4
Shasa;;Inner Rim;N-12
Sienar TF73;Tharin;Outer Rim Territories;S-8
Shasfath;;Inner Rim;J-14
Sif-Alula;Trestis;Expansion Region;K-8
Shatuun;Kathol;Outer Rim Territories;M-21
Sif-Uwana;;Colonies;K-8
Shaum Hii;Tragan Cluster;Outer Rim Territories;N-5
Sif'kric;Mezeg;Mid Rim;M-7
Shawken;;Core Worlds;L-9
Sifuchi;Lostar;Expansion Region;M-7
Shawti;;Hutt Space;S-9
Sigil;Chorlian;Outer Rim Territories;S-4
Shaylin;Pakuuni;Outer Rim Territories;T-6
Sigma Station;Demetras;Outer Rim Territories;P-7
Shaymore;Immerian Outback;Expansion Region;N-14
Sika;Brevost;Expansion Region;O-15
Shedu Maad;Hapes Cluster;Inner Rim;O-9
Sikkem;Thanium;Outer Rim Territories;R-6
Sheela;Abrion;Outer Rim Territories;S-15
Sikurd;Tynquay;Outer Rim Territories;Q-4
Sheh Soahi;Cassander;Outer Rim Territories;K-5
Sil Gohtta;Lol;Outer Rim Territories;Q-18
Shelkonwa;Shelsha;Colonies;M-9
Sil'Lume;Seitia;Outer Rim Territories;K-19
Shella;Tapani;Colonies;L-13
Sileria;Corellian;Core Worlds;M-11
Shenio;Kalamith;Outer Rim Territories;P-5
Silken;;Wild Space;O-20
Sheris;Belsmuth;Outer Rim Territories;O-6
Silla;Strabin;Mid Rim;M-7
Shesharile;Minos Cluster;Outer Rim Territories;M-20
Silorna;Imberlin;Expansion Region;P-13
Sheva;Tapani;Colonies;L-13
Silunes;Arc d'Stot;Expansion Region;K-15
Siluria;Atravis;Outer Rim Territories;L-19
Slession;;Inner Rim;K-14
Silver Station;Doldur;Mid Rim;P-15
Slivia;Astal;Outer Rim Territories;Q-17
Silversisi;;Inner Rim;M-8
Sljee;Ehosiq;Expansion Region;M-8
Silvestri;Ado;Mid Rim;L-17
Sloogaria;Rseik;Outer Rim Territories;N-19
Sim'char'ser;Albanin;Outer Rim Territories;U-12
Slotern;Wazta;Outer Rim Territories;J-18
Simbarc;Cadma;Outer Rim Territories;T-8
Sluis Van;Sluis;Outer Rim Territories;M-19
Simento-Threk;Meram;Outer Rim Territories;O-4
Sluudren;Chorlian;Outer Rim Territories;S-4
Simik;;Inner Rim;L-14
Smarab;Dohlbani;Mid Rim;R-14
Simocadia;;Inner Rim;J-13
Smarck;Cademimu;Outer Rim Territories;K-6
Simoom;Senex;Mid Rim;L-18
Smarteel;;Wild Space;U-14
Simoth;Mortex;Outer Rim Territories;R-5
Smuggler's Run;Gaulus;Outer Rim Territories;S-18
Simpla;Kalamith;Outer Rim Territories;O-5
Sneeve;Kastolar;Mid Rim;Q-10
Simra;;Colonies;L-13
Snevu;;Unknown Regions;H-7
Sinded;D'Aelgoth;Mid Rim;L-17
Snowdn;Centrality;Outer Rim Territories;U-8
Sinjan;Albarrio;Outer Rim Territories;K-5
Snugano;Spirva;Mid Rim;L-17
Sinkar;Fakir;Colonies;K-9
Sochi;;Inner Rim;M-9
Sinsang;Raioballo;Outer Rim Territories;L-4
Soco-Jarel;Xappyh;Outer Rim Territories;Q-4
Sinta;Hune;Mid Rim;Q-12
Socorro;Kibilini;Outer Rim Territories;Q-17
Sintheti;Noonian;Outer Rim Territories;N-6
Soika;;Inner Rim;M-8
Sinton;Rago;Mid Rim;I-7
Sojourn;Carrion;Outer Rim Territories;J-4
Siola;;Core Worlds;K-12
Solacton;Tharin (Periphery);Outer Rim Territories;S-8
Sionia;;Hutt Space;S-10
Solaest;Belsmuth;Outer Rim Territories;O-6
Sipo;Kwymar;Outer Rim Territories;Q-4
Solanus;Lothal;Outer Rim Territories;U-7
Sipsk;Kanz;Outer Rim Territories;N-4
Solarine;Suolriep;Outer Rim Territories;S-8
Sirdar;Oricho;Outer Rim Territories;M-6
Solassus;;Core Worlds;M-11
Siriamp;Halm;Mid Rim;J-16
Solay;Lothal;Outer Rim Territories;U-7
Sirpar;Arkanis;Outer Rim Territories;R-17
Solem;Rayter;Outer Rim Territories;J-19
Sisk;Calaron;Outer Rim Territories;U-9
Solibus;Chitarghar;Expansion Region;K-15
Siskeen;Hunnoverrs;Outer Rim Territories;R-17
Solitair;Garwian Unity*;Unknown Regions;D-8
Sittana;;Core Worlds;L-9
Solloops;Kuat;Core Worlds;M-10
Sivad;Iskin;Mid Rim;O-16
Solu;Meridian;Outer Rim Territories;R-6
Siveria;Kibilini;Outer Rim Territories;Q-17
Solubria;Shadola;Outer Rim Territories;T-8
Sivoria;Hapes Cluster;Inner Rim;O-9
Somavva;Tharin (Divis Arm);Outer Rim Territories;S-8
Sixela;Thuris;Outer Rim Territories;P-18
Someilk;Seswenna;Outer Rim Territories;M-17
Skako;;Core Worlds;L-9
Somov Rit;Onatos;Mid Rim;R-15
Skangravi;Msst;Mid Rim;P-7
Son-tuul;Perinn;Outer Rim Territories;J-4
Skann;Astal;Outer Rim Territories;Q-18
Sondarr;Sertar;Outer Rim Territories;R-5
Skaradosh;;Inner Rim;N-13
Sonn Vilmari;Colundra;Outer Rim Territories;S-5
Skaross;Morshdine;Outer Rim Territories;O-4
Sontara;;Core Worlds;M-12
Skarpos;Grumani;Outer Rim Territories;N-17
Sontor;Tungra;Outer Rim Territories;K-19
Skärtis;Senex;Mid Rim;L-17
Soola;Khuiumin;Outer Rim Territories;O-18
Skeebo;Shadola;Outer Rim Territories;U-8
Sooma;Thanium;Outer Rim Territories;R-6
Skeressa;Cadma;Outer Rim Territories;T-8
Sooncanoo;;Inner Rim;K-8
Skine;Skine;Outer Rim Territories;Q-19
Sorca Retreat;;Inner Rim;O-8
Skone;Brak;Expansion Region;O-14
Sorderia;Suolriep;Outer Rim Territories;S-9
Skor;Airam;Outer Rim Territories;M-20
Sorella;Tapani;Colonies;L-13
Skorrupon;Trans-Vulta;Mid Rim;N-7
Sorfina;;Inner Rim;O-8
Skree;Chitarghar;Expansion Region;K-15
Sorgal;Mieru'kar;Outer Rim Territories;N-4
Skuhl;Spadja;Outer Rim Territories;R-5
Sorgan;Karthakk;Outer Rim Territories;Q-17
Skustell Cluster;Tarabba;Outer Rim Territories;N-19
Sorimow;Pacanth Reach;Outer Rim Territories;H-16
Skuumaa;Mytaranor;Mid Rim;Q-9
Sorjus;Meridian;Outer Rim Territories;R-7
Skye;Varada;Outer Rim Territories;H-19
Sorl;Dantus;Outer Rim Territories;J-6
Skynara;Skine;Outer Rim Territories;P-19
Sormahil;Corva;Outer Rim Territories;P-3
Slandarvia M-9;Homon;Mid Rim;M-7
Sorotarr;Yushan;Mid Rim;K-17
Sleedara;;Core Worlds;L-12
Sorrus;Kalamith;Outer Rim Territories;O-5
Sleheyron;;Hutt Space;S-10
Sortuvia;Xappyh;Outer Rim Territories;Q-3
Soruus;Cronese Mandate;Outer Rim Territories;S-6
Stend;Juris;Outer Rim Territories;P-17
Soterios;Tapani;Colonies;L-13
Stennaros;Har Worlds (Stennes);Expansion Region;K-16
Soul's Lament;Greater Plooriod;Expansion Region;M-7
Stenness;Airon;Inner Rim;O-10
Soule;;Core Worlds;L-12
Stenos;Spadja;Outer Rim Territories;R-5
Soullex;;Wild Space;P-3
Stensen's Colony;Stensen;Outer Rim Territories;I-16
Soun;;Expansion Region;J-8
Sterdic;Ryndellian;Mid Rim;P-17
Space Station Scardia;Null Zone;Expansion Region;P-12
Stewjon;;Deep Core;M-10
Space Station Trenchant;Trax;Mid Rim;Q-10
Stic;Xappyh;Outer Rim Territories;Q-3
Spaceport THX1138;Fath;Outer Rim Territories;K-6
Stieg;Calaron;Outer Rim Territories;T-9
Spalex;Dantus;Outer Rim Territories;J-6
Stivic;Garwian Unity*;Unknown Regions;D-8
Spangled Veil Nebula;Meridian;Outer Rim Territories;R-7
Stobar;Boeus;Expansion Region;M-15
Spanthaer;;Inner Rim;N-9
Stoga;Bitrose;Outer Rim Territories;T-17
Sparingia;;Core Worlds;L-13
Storinal;Noonian;Outer Rim Territories;N-6
Sparth;Prefsbelt;Outer Rim Territories;K-6
Storthus;Churba;Mid Rim;P-15
Spawn Nebula;Corva;Outer Rim Territories;P-4
Stovax;;Core Worlds;J-10
Speco;Bon'nyuw-Luq;Outer Rim Territories;N-18
Stradtofen Cluster;Varada;Outer Rim Territories;I-20
Spee;Saijo;Outer Rim Territories;K-20
Strata;;Inner Rim;L-8
Spefik;Atrivis;Outer Rim Territories;L-5
Stribos;;Core Worlds;M-10
Spellhaus;Meerian;Outer Rim Territories;O-6
Strokill Prime;Calamari;Outer Rim Territories;U-6
Sperin;Bajic;Outer Rim Territories;P-17
Stygeon;Nuiri;Outer Rim Territories;Q-6
Spice Terminus;Parmic;Outer Rim Territories;P-18
Stygian Caldera;Esstran (Sith Worlds);Outer Rim Territories;R-5
Spillwater;(Candoras);Outer Rim Territories;J-5
Stygmarn;Tarabba;Outer Rim Territories;N-19
Spinax;Allied Tion;Outer Rim Territories;S-6
Stylar Nebula;Corva;Outer Rim Territories;P-4
Spindrift;Rseik;Outer Rim Territories;N-20
Styx;Baxel;Outer Rim Territories;U-11
Spintir;Spadja;Outer Rim Territories;Q-6
Suarbi;Quence;Outer Rim Territories;O-19
Spira;Lytton;Core Worlds;L-10
Suba;Atravis;Outer Rim Territories;L-19
Spirador;Tandon;Mid Rim;Q-14
Subterrel;Subterrel;Outer Rim Territories;L-20
Spirana;;Inner Rim;N-13
Sucharme;Grohl;Outer Rim Territories;R-15
Sposia;Chiss Space*;Unknown Regions;F-8
Sufezz;Jubilar;Outer Rim Territories;T-8
Sprizen;Sprizen;Outer Rim Territories;N-5
Suhuurmin;Quence;Outer Rim Territories;P-18
Spuma;Seswenna;Outer Rim Territories;M-18
Sukkult;;Inner Rim;L-14
Spunchina;;Wild Space;H-17
Suliana;Senex;Mid Rim;L-18
Spur, The;Quence;Outer Rim Territories;O-18
Sulloria;Svivreni;Outer Rim Territories;O-19
Squamat;Mayagil;Outer Rim Territories;M-18
Sullust;Brema;Outer Rim Territories;M-17
Squan Station;(Arboo);Outer Rim Territories;S-16
Sulorine;Suolriep;Outer Rim Territories;S-7
Squarr;Atrivis;Outer Rim Territories;L-5
Sumarin;Abrion;Outer Rim Territories;S-15
Sran;Ash Worlds;Outer Rim Territories;T-6
Sumitra;Sumitra;Expansion Region;N-7
Sriluur;Tharin (Periphery);Outer Rim Territories;S-8
Sump;Koradin;Outer Rim Territories;I-18
Sronk;Oplovis;Outer Rim Territories;M-5
Sunaj;Videnda;Outer Rim Territories;L-18
Ssi-ruuvi Cluster;;Unknown Regions;C-16
Sundered Veil, The;Phelleem;Outer Rim Territories;S-7
